[v1_wide96] device=mps img=96 batch=128 epochs=40 lr=0.0003 aug=light model=wide sched=cosine
[v1_wide96] rows train/val/test = 25309 / 3457 / 3066
[v1_wide96] params: 1,314,994
[v1_wide96] ep  0 | tr 2.9824 | vl 2.7709 | acc 0.1250 | f1 0.0836 * | t 32s
[v1_wide96] ep  1 | tr 2.6870 | vl 2.3405 | acc 0.2566 | f1 0.2284 * | t 44s
[v1_wide96] ep  2 | tr 2.1953 | vl 1.5421 | acc 0.5406 | f1 0.5323 * | t 58s
[v1_wide96] ep  3 | tr 1.5311 | vl 0.9012 | acc 0.7316 | f1 0.7281 * | t 73s
[v1_wide96] ep  4 | tr 1.0945 | vl 0.6024 | acc 0.8088 | f1 0.8078 * | t 87s
[v1_wide96] ep  5 | tr 0.8335 | vl 0.4666 | acc 0.8559 | f1 0.8547 * | t 102s
[v1_wide96] ep  6 | tr 0.6703 | vl 0.3104 | acc 0.9019 | f1 0.9014 * | t 117s
[v1_wide96] ep  7 | tr 0.5492 | vl 0.2558 | acc 0.9254 | f1 0.9246 * | t 132s
[v1_wide96] ep  8 | tr 0.4605 | vl 0.2427 | acc 0.9259 | f1 0.9257 * | t 146s
[v1_wide96] ep  9 | tr 0.3980 | vl 0.1808 | acc 0.9450 | f1 0.9450 * | t 161s
[v1_wide96] ep 10 | tr 0.3569 | vl 0.1684 | acc 0.9479 | f1 0.9478 * | t 177s
[v1_wide96] ep 11 | tr 0.3214 | vl 0.1547 | acc 0.9540 | f1 0.9538 * | t 194s
[v1_wide96] ep 12 | tr 0.2975 | vl 0.1197 | acc 0.9641 | f1 0.9639 * | t 213s
[v1_wide96] ep 13 | tr 0.2670 | vl 0.1131 | acc 0.9633 | f1 0.9632 | t 234s
[v1_wide96] ep 14 | tr 0.2490 | vl 0.1389 | acc 0.9537 | f1 0.9534 | t 255s
[v1_wide96] ep 15 | tr 0.2354 | vl 0.1243 | acc 0.9566 | f1 0.9567 | t 277s
[v1_wide96] ep 16 | tr 0.2190 | vl 0.0927 | acc 0.9708 | f1 0.9708 * | t 297s
[v1_wide96] ep 17 | tr 0.2106 | vl 0.0842 | acc 0.9751 | f1 0.9752 * | t 317s
[v1_wide96] ep 18 | tr 0.1922 | vl 0.0939 | acc 0.9708 | f1 0.9707 | t 336s
[v1_wide96] ep 19 | tr 0.1848 | vl 0.0867 | acc 0.9702 | f1 0.9700 | t 355s
[v1_wide96] ep 20 | tr 0.1708 | vl 0.0715 | acc 0.9789 | f1 0.9789 * | t 374s
[v1_wide96] ep 21 | tr 0.1696 | vl 0.0738 | acc 0.9737 | f1 0.9737 | t 393s
[v1_wide96] ep 22 | tr 0.1649 | vl 0.0735 | acc 0.9754 | f1 0.9753 | t 412s
[v1_wide96] ep 23 | tr 0.1533 | vl 0.0773 | acc 0.9745 | f1 0.9744 | t 430s
[v1_wide96] ep 24 | tr 0.1476 | vl 0.0693 | acc 0.9763 | f1 0.9761 | t 449s
[v1_wide96] ep 25 | tr 0.1382 | vl 0.0682 | acc 0.9798 | f1 0.9798 * | t 468s
[v1_wide96] ep 26 | tr 0.1311 | vl 0.0659 | acc 0.9795 | f1 0.9794 | t 486s
[v1_wide96] ep 27 | tr 0.1341 | vl 0.0576 | acc 0.9829 | f1 0.9828 * | t 505s
[v1_wide96] ep 28 | tr 0.1288 | vl 0.0579 | acc 0.9824 | f1 0.9822 | t 523s
[v1_wide96] ep 29 | tr 0.1225 | vl 0.0630 | acc 0.9803 | f1 0.9804 | t 542s
[v1_wide96] ep 30 | tr 0.1199 | vl 0.0571 | acc 0.9826 | f1 0.9826 | t 560s
[v1_wide96] ep 31 | tr 0.1155 | vl 0.0562 | acc 0.9829 | f1 0.9829 * | t 579s
[v1_wide96] ep 32 | tr 0.1113 | vl 0.0595 | acc 0.9809 | f1 0.9809 | t 597s
[v1_wide96] ep 33 | tr 0.1126 | vl 0.0558 | acc 0.9826 | f1 0.9827 | t 616s
[v1_wide96] ep 34 | tr 0.1084 | vl 0.0552 | acc 0.9829 | f1 0.9829 * | t 635s
[v1_wide96] ep 35 | tr 0.1076 | vl 0.0532 | acc 0.9829 | f1 0.9829 * | t 653s
[v1_wide96] ep 36 | tr 0.1081 | vl 0.0534 | acc 0.9835 | f1 0.9835 * | t 673s
[v1_wide96] ep 37 | tr 0.1022 | vl 0.0528 | acc 0.9844 | f1 0.9844 * | t 691s
[v1_wide96] ep 38 | tr 0.1058 | vl 0.0535 | acc 0.9835 | f1 0.9835 | t 710s
[v1_wide96] ep 39 | tr 0.1075 | vl 0.0544 | acc 0.9821 | f1 0.9821 | t 729s
[v1_wide96] TEST | acc 0.9824 | f1 0.9826
[v1_wide96] done. best_val_f1=0.9844 test_f1=0.9826
/opt/homebrew/Cellar/python@3.14/3.14.3_1/Frameworks/Python.framework/Versions/3.14/lib/python3.14/multiprocessing/resource_tracker.py:396: UserWarning: resource_tracker: There appear to be 52 leaked semaphore objects to clean up at shutdown: {'/loky-50311-d8qu4oah', '/loky-50311-5zy1rxp2', '/loky-50311-sqlmeptr', '/loky-50311-0lzocrvg', '/loky-50311-_osvxfpx', '/loky-50311-34049c2t', '/loky-50311-ay024z4r', '/loky-50311-r1zs9ox7', '/loky-50311-zikjle1h', '/loky-50311-7vwj8t6d', '/loky-50311-6h2hk6gr', '/loky-50311-id82xrso', '/loky-50311-yw2u_ha4', '/loky-50311-6e56axih', '/loky-50311-hyq_l_5p', '/loky-50311-eiz7zp56', '/loky-50311-nn9bl724', '/loky-50311-8s3ex60b', '/loky-50311-878utopl', '/loky-50311-0mypeltb', '/loky-50311-y7_s0oxk', '/loky-50311-5i935b41', '/loky-50311-ci55h8y8', '/loky-50311-_sx1ycmf', '/loky-50311-407345cv', '/loky-50311-7yq4ikmy', '/loky-50311-94ox8vh2', '/loky-50311-deyinfqn', '/loky-50311-uki8x5sg', '/loky-50311-xrz0zcqf', '/loky-50311-b760_t5j', '/loky-50311-n7lii2i2', '/loky-50311-v8g2n4ib', '/loky-50311-f82zfrce', '/loky-50311-gnjziji5', '/loky-50311-vzp8qktd', '/loky-50311-ak28hknv', '/loky-50311-ww9ngtuy', '/loky-50311-_c7uaecj', '/loky-50311-6r1jisxh', '/loky-50311-amgxzmls', '/loky-50311-aoor4epv', '/loky-50311-xpylyor_', '/loky-50311-usvpooud', '/loky-50311-9_gq6gjs', '/loky-50311-fg1tmysa', '/loky-50311-ahkt09wr', '/loky-50311-exd00odc', '/loky-50311-g7c_ztqw', '/loky-50311-u4nm4iq_', '/loky-50311-edv8ftnr', '/loky-50311-x2dbq1z4'}
  warnings.warn(
