[v4] device=mps img=112 batch=128 epochs=40 lr=0.0003 warmup=2 patience=10
[v4] rows tr/va/te = 25309/3457/3066
[v4] params: 1,314,994
[v4] ep  0 | tr 3.0656 | vl 2.8374 | acc 0.1007 | f1 0.0566 * | lr 1.50e-04 | t 36s
[v4] ep  1 | tr 2.8259 | vl 2.6727 | acc 0.1467 | f1 0.1081 * | lr 3.00e-04 | t 55s
[v4] ep  2 | tr 2.5434 | vl 2.3650 | acc 0.2372 | f1 0.2074 * | lr 3.00e-04 | t 80s
[v4] ep  3 | tr 2.0624 | vl 1.6657 | acc 0.4646 | f1 0.4382 * | lr 2.99e-04 | t 101s
[v4] ep  4 | tr 1.6358 | vl 1.3046 | acc 0.5788 | f1 0.5631 * | lr 2.98e-04 | t 124s
[v4] ep  5 | tr 1.3096 | vl 1.2300 | acc 0.5722 | f1 0.5311 | lr 2.95e-04 | t 151s
[v4] ep  6 | tr 1.0991 | vl 0.7856 | acc 0.7399 | f1 0.7370 * | lr 2.92e-04 | t 184s
[v4] ep  7 | tr 0.9270 | vl 0.7402 | acc 0.7434 | f1 0.7352 | lr 2.87e-04 | t 222s
[v4] ep  8 | tr 0.7915 | vl 0.6472 | acc 0.7946 | f1 0.7944 * | lr 2.82e-04 | t 254s
[v4] ep  9 | tr 0.6900 | vl 0.5495 | acc 0.8207 | f1 0.8175 * | lr 2.76e-04 | t 284s
[v4] ep 10 | tr 0.6224 | vl 0.4775 | acc 0.8316 | f1 0.8305 * | lr 2.68e-04 | t 312s
[v4] ep 11 | tr 0.5609 | vl 0.4432 | acc 0.8444 | f1 0.8394 * | lr 2.60e-04 | t 341s
[v4] ep 12 | tr 0.5139 | vl 0.3509 | acc 0.8886 | f1 0.8887 * | lr 2.52e-04 | t 368s
[v4] ep 13 | tr 0.4730 | vl 0.3038 | acc 0.8985 | f1 0.8984 * | lr 2.42e-04 | t 397s
[v4] ep 14 | tr 0.4348 | vl 0.3490 | acc 0.8802 | f1 0.8800 | lr 2.32e-04 | t 424s
[v4] ep 15 | tr 0.4098 | vl 0.3099 | acc 0.8901 | f1 0.8895 | lr 2.21e-04 | t 451s
[v4] ep 16 | tr 0.3838 | vl 0.2760 | acc 0.9074 | f1 0.9081 * | lr 2.10e-04 | t 477s
[v4] ep 17 | tr 0.3674 | vl 0.1876 | acc 0.9404 | f1 0.9404 * | lr 1.99e-04 | t 505s
[v4] ep 18 | tr 0.3473 | vl 0.2222 | acc 0.9245 | f1 0.9243 | lr 1.87e-04 | t 532s
[v4] ep 19 | tr 0.3328 | vl 0.2073 | acc 0.9335 | f1 0.9334 | lr 1.75e-04 | t 559s
[v4] ep 20 | tr 0.3110 | vl 0.1857 | acc 0.9410 | f1 0.9409 * | lr 1.62e-04 | t 586s
[v4] ep 21 | tr 0.3082 | vl 0.2345 | acc 0.9164 | f1 0.9166 | lr 1.50e-04 | t 613s
[v4] ep 22 | tr 0.2917 | vl 0.1821 | acc 0.9369 | f1 0.9367 | lr 1.38e-04 | t 641s
[v4] ep 23 | tr 0.2742 | vl 0.1573 | acc 0.9482 | f1 0.9484 * | lr 1.25e-04 | t 671s
[v4] ep 24 | tr 0.2642 | vl 0.1715 | acc 0.9413 | f1 0.9415 | lr 1.13e-04 | t 699s
[v4] ep 25 | tr 0.2612 | vl 0.1511 | acc 0.9500 | f1 0.9501 * | lr 1.01e-04 | t 727s
[v4] ep 26 | tr 0.2508 | vl 0.1430 | acc 0.9563 | f1 0.9563 * | lr 8.97e-05 | t 756s
[v4] ep 27 | tr 0.2427 | vl 0.1475 | acc 0.9511 | f1 0.9510 | lr 7.86e-05 | t 785s
[v4] ep 28 | tr 0.2430 | vl 0.1400 | acc 0.9534 | f1 0.9534 | lr 6.80e-05 | t 813s
[v4] ep 29 | tr 0.2249 | vl 0.1559 | acc 0.9468 | f1 0.9469 | lr 5.79e-05 | t 841s
[v4] ep 30 | tr 0.2258 | vl 0.1452 | acc 0.9523 | f1 0.9525 | lr 4.84e-05 | t 869s
[v4] ep 31 | tr 0.2203 | vl 0.1439 | acc 0.9552 | f1 0.9552 | lr 3.96e-05 | t 898s
[v4] ep 32 | tr 0.2156 | vl 0.1322 | acc 0.9557 | f1 0.9558 | lr 3.16e-05 | t 927s
[v4] ep 33 | tr 0.2149 | vl 0.1295 | acc 0.9572 | f1 0.9571 * | lr 2.44e-05 | t 956s
[v4] ep 34 | tr 0.2116 | vl 0.1271 | acc 0.9569 | f1 0.9569 | lr 1.81e-05 | t 984s
[v4] ep 35 | tr 0.2027 | vl 0.1234 | acc 0.9592 | f1 0.9591 * | lr 1.26e-05 | t 1013s
[v4] ep 36 | tr 0.2095 | vl 0.1254 | acc 0.9581 | f1 0.9580 | lr 8.13e-06 | t 1041s
[v4] ep 37 | tr 0.2109 | vl 0.1233 | acc 0.9589 | f1 0.9589 | lr 4.59e-06 | t 1069s
[v4] ep 38 | tr 0.2088 | vl 0.1208 | acc 0.9598 | f1 0.9597 * | lr 2.05e-06 | t 1097s
[v4] ep 39 | tr 0.2049 | vl 0.1279 | acc 0.9569 | f1 0.9568 | lr 5.12e-07 | t 1126s
[v4] TEST | acc 0.9602 | f1 0.9606
[v4] done. best_val_f1=0.9597 test_f1=0.9606
