[v3] device=mps params=1,928,611 batches/ep tr=1831 va=102 amp=True
[v3] img=256 batch=16 epochs=25 lr=0.0004 warmup=2 ema=0.999
[v3] no resume file at checkpoints/hand_seg_v3.last.pt, starting fresh.
[v3] ep 0 batch    0/1831 | run 1.4742 | lr 2.00e-04 | t 10s
[v3] ep 0 batch   50/1831 | run 1.2643 | lr 2.00e-04 | t 16s
[v3] ep 0 batch  100/1831 | run 1.1893 | lr 2.00e-04 | t 23s
[v3] ep 0 batch  150/1831 | run 1.1405 | lr 2.00e-04 | t 31s
[v3] ep 0 batch  200/1831 | run 1.1035 | lr 2.00e-04 | t 38s
[v3] ep 0 batch  250/1831 | run 1.0713 | lr 2.00e-04 | t 46s
[v3] ep 0 batch  300/1831 | run 1.0448 | lr 2.00e-04 | t 53s
[v3] ep 0 batch  350/1831 | run 1.0213 | lr 2.00e-04 | t 61s
[v3] ep 0 batch  400/1831 | run 1.0007 | lr 2.00e-04 | t 69s
[v3] ep 0 batch  450/1831 | run 0.9821 | lr 2.00e-04 | t 77s
[v3] ep 0 batch  500/1831 | run 0.9643 | lr 2.00e-04 | t 85s
[v3] ep 0 batch  550/1831 | run 0.9479 | lr 2.00e-04 | t 94s
[v3] ep 0 batch  600/1831 | run 0.9322 | lr 2.00e-04 | t 102s
[v3] ep 0 batch  650/1831 | run 0.9165 | lr 2.00e-04 | t 110s
[v3] ep 0 batch  700/1831 | run 0.9024 | lr 2.00e-04 | t 117s
[v3] ep 0 batch  750/1831 | run 0.8881 | lr 2.00e-04 | t 126s
[v3] ep 0 batch  800/1831 | run 0.8751 | lr 2.00e-04 | t 134s
[v3] ep 0 batch  850/1831 | run 0.8625 | lr 2.00e-04 | t 143s
[v3] ep 0 batch  900/1831 | run 0.8502 | lr 2.00e-04 | t 152s
[v3] ep 0 batch  950/1831 | run 0.8391 | lr 2.00e-04 | t 162s
[v3] ep 0 batch 1000/1831 | run 0.8275 | lr 2.00e-04 | t 173s
[v3] ep 0 batch 1050/1831 | run 0.8170 | lr 2.00e-04 | t 184s
[v3] ep 0 batch 1100/1831 | run 0.8074 | lr 2.00e-04 | t 196s
[v3] ep 0 batch 1150/1831 | run 0.7973 | lr 2.00e-04 | t 208s
